,Month,Year,Type,Area,Sex,Fatal (Y/N)
389,October,1999,Unprovoked,Florida,M,N
390,August,1999,Unprovoked,North Carolina,M,N
391,February,1999,Unprovoked,Florida,M,N
392,August,1996,Unprovoked,California,M,N
393,September,1994,Unprovoked,Hawaii,F,N
394,February,1992,Unprovoked,Hawaii,M,Y
395,February,1990,Unprovoked,Florida,M,N
396,September,1989,Provoked,Florida,M,N
397,October,1988,Unprovoked,Florida,M,N
398,August,1988,Provoked,Louisiana,M,N
399,July,1988,Unprovoked,Florida,F,N
400,April,1988,Unprovoked,California,M,N
401,November,1978,Unprovoked,Hawaii,M,N
402,July,1976,Unprovoked,Florida,M,N
403,September,1970,Unprovoked,Florida,M,N
404,June,1969,Unprovoked,Florida,M,N
405,May,1969,Provoked,Florida,M,N
406,March,1969,Unprovoked,Hawaii,M,N
407,August,1964,Unprovoked,Florida,M,N
408,December,1960,Unprovoked,Hawaii,M,Y
409,May,1959,Unprovoked,California,M,Y
410,June,1958,Provoked,Florida,M,N
411,September,1956,Unprovoked,Florida,M,N
412,September,2022,Unprovoked,Hawaii,F,N
413,July,2022,Unprovoked,New York,M,N
414,December,2020,Unprovoked,Oregon,M,N
415,August,2020,Unprovoked,Florida,M,N
416,June,2020,Unprovoked,North Carolina,M,N
417,May,2019,Unprovoked,Hawaii,M,N
418,June,2018,Unprovoked,Georgia,F,N
419,November,2017,Unprovoked,Hawaii,M,N
420,April,2017,Unprovoked,Florida,F,N
421,April,2017,Unprovoked,Florida,M,N
422,September,2016,Unprovoked,Florida,M,N
423,May,2016,Unprovoked,Florida,F,N
424,May,2016,Unprovoked,Louisiana,F,N
425,January,2016,Unprovoked,Hawaii,M,N
426,October,2015,Unprovoked,Hawaii,M,N
427,August,2015,Unprovoked,California,F,N
428,August,2015,Unprovoked,California,M,N
429,July,2014,Unprovoked,Florida,M,N
430,May,2014,Unprovoked,Georgia,M,N
431,November,2013,Unprovoked,Hawaii,F,N
432,October,2013,Unprovoked,Hawaii,M,N
433,November,2012,Unprovoked,Hawaii,M,N
434,June,2012,Unprovoked,Florida,M,N
435,June,2012,Unprovoked,South Carolina,M,N
436,April,2012,Unprovoked,Hawaii,M,N
437,August,2011,Unprovoked,North Carolina,M,N
438,October,2010,Unprovoked,Maine,M,N
439,July,2010,Provoked,Florida,M,N
440,January,2010,Unprovoked,Florida,M,N
441,September,2007,Unprovoked,Florida,M,N
442,September,2007,Unprovoked,Florida,M,N
443,July,2006,Unprovoked,South Carolina,F,N
444,June,2006,Unprovoked,Florida,M,N
445,April,2006,Provoked,Florida,M,N
446,January,2006,Unprovoked,Florida,M,N
447,November,2005,Unprovoked,Florida,M,N
448,October,2005,Unprovoked,Florida,M,N
449,April,2003,Unprovoked,Florida,M,N
450,April,2003,Unprovoked,Florida,M,N
451,November,2002,Unprovoked,Florida,M,N
452,July,2002,Unprovoked,North Carolina,F,N
453,June,2002,Unprovoked,Florida,F,N
454,June,2002,Unprovoked,Florida,M,N
455,May,2002,Unprovoked,Florida,M,N
456,September,2001,Provoked,Florida,M,N
457,July,2001,Unprovoked,Florida,M,N
458,July,2001,Unprovoked,Florida,M,N
