Datetime,Storm_Status,Latitude,Longitude,Max_Wind,Min_Pressure,Radius_Max_Wind
20121029, HU, 38.3N,  73.2W,80.0,940.0,80.0
20140704, HU, 34.7N,  76.6W,85.0,974.0,20.0
20140704, HU, 35.8N,  75.5W,85.0,973.0,15.0
20160902, HU, 30.1N,  84.1W,70.0,981.0,20.0
20170826, HU, 28.0N,  96.9W,115.0,937.0,10.0
20170826, HU, 28.2N,  97.1W,105.0,948.0,10.0
20170910, HU, 24.7N,  81.5W,115.0,931.0,10.0
20170910, HU, 25.9N,  81.7W,100.0,936.0,15.0
20170920, HU, 18.0N,  65.9W,135.0,920.0,15.0
20171008, HU, 29.1N,  89.2W,75.0,983.0,15.0
20171008, HU, 30.4N,  89.0W,65.0,984.0,20.0
20180914, HU, 34.2N,  77.8W,80.0,956.0,25.0
20181010, HU, 30.0N,  85.5W,140.0,919.0,10.0
20190713, HU, 29.6N,  92.2W,65.0,993.0,40.0
20190828, HU, 17.8N,  64.6W,65.0,995.0,10.0
20190828, HU, 18.4N,  65.1W,70.0,993.0,15.0
20190906, HU, 35.2N,  75.6W,85.0,956.0,20.0
20200725, HU, 26.8N,  97.3W,80.0,973.0,20.0
20200725, HU, 26.7N,  97.5W,80.0,974.0,20.0
20200804, HU, 33.9N,  78.5W,80.0,986.0,25.0
20200827, HU, 29.8N,  93.3W,130.0,939.0,15.0
20200916, HU, 30.3N,  87.7W,95.0,965.0,15.0
20201009, HU, 29.8N,  93.1W,85.0,970.0,15.0
20201028, HU, 29.2N,  90.6W,100.0,970.0,20.0
20210520, EX, 30.3N,  55.5W,30.0,1015.0,70.0
20210520, EX, 31.5N,  54.5W,35.0,1013.0,70.0
20210520, EX, 33.0N,  53.0W,40.0,1012.0,70.0
20210520, EX, 34.2N,  53.8W,45.0,1010.0,90.0
20210521, EX, 34.8N,  55.0W,50.0,1008.0,90.0
20210521, EX, 35.5N,  57.0W,50.0,1006.0,90.0
20210521, EX, 35.7N,  59.3W,45.0,1005.0,90.0
20210521, EX, 35.0N,  61.1W,45.0,1005.0,80.0
20210522, EX, 34.5N,  61.8W,40.0,1006.0,70.0
20210522, SS, 34.2N,  62.1W,35.0,1006.0,60.0
20210522, SS, 34.3N,  62.7W,35.0,1006.0,40.0
20210522, SS, 34.2N,  62.4W,35.0,1006.0,20.0
20210523, TS, 34.7N,  61.8W,40.0,1005.0,15.0
20210523, TS, 35.4N,  61.1W,40.0,1004.0,15.0
20210523, TS, 36.1N,  60.3W,35.0,1005.0,15.0
20210523, LO, 36.8N,  58.7W,35.0,1006.0,20.0
20210524, LO, 37.6N,  56.7W,35.0,1007.0,20.0
20210613, LO, 31.9N,  78.1W,20.0,1008.0,60.0
20210614, LO, 32.5N,  77.1W,20.0,1007.0,40.0
20210614, TD, 33.2N,  75.9W,25.0,1006.0,40.0
20210614, TD, 34.0N,  74.5W,30.0,1005.0,35.0
20210614, TS, 34.9N,  72.8W,35.0,1003.0,35.0
20210615, TS, 36.0N,  70.8W,40.0,1000.0,35.0
20210615, TS, 37.6N,  67.8W,50.0,996.0,30.0
20210615, TS, 39.4N,  64.0W,55.0,992.0,30.0
20210615, TS, 40.9N,  60.8W,45.0,997.0,40.0
20210616, EX, 42.5N,  57.9W,35.0,1002.0,60.0
20210617, DB, 22.5N,  92.2W,25.0,1008.0,150.0
20210618, DB, 23.5N,  91.8W,30.0,1007.0,140.0
20210618, DB, 24.6N,  91.4W,35.0,1007.0,130.0
20210618, DB, 25.9N,  91.2W,35.0,1007.0,120.0
20210618, DB, 27.2N,  91.1W,40.0,1006.0,120.0
20210619, TS, 28.4N,  91.2W,40.0,1005.0,120.0
20210619, TS, 29.2N,  91.0W,40.0,1003.0,120.0
20210619, TS, 29.5N,  90.8W,40.0,1003.0,120.0
20210619, TS, 30.6N,  89.9W,35.0,1004.0,120.0
20210619, TD, 31.5N,  88.8W,30.0,1005.0,120.0
20210620, TD, 32.4N,  87.8W,25.0,1005.0,120.0
20210620, TD, 33.1N,  86.5W,25.0,1006.0,120.0
20210620, TD, 33.5N,  84.8W,25.0,1007.0,120.0
20210620, TD, 33.8N,  83.1W,25.0,1008.0,120.0
20210621, TD, 34.2N,  81.2W,30.0,1007.0,120.0
20210621, TS, 35.0N,  79.1W,40.0,1006.0,110.0
20210621, TS, 36.0N,  76.5W,40.0,1005.0,110.0
20210621, TS, 37.0N,  73.5W,40.0,1004.0,110.0
20210622, TS, 38.4N,  70.7W,40.0,1004.0,100.0
20210622, EX, 39.7N,  67.8W,40.0,1004.0,100.0
20210622, EX, 41.2N,  65.2W,40.0,1004.0,100.0
20210622, EX, 42.6N,  62.4W,40.0,1004.0,100.0
20210623, EX, 44.1N,  59.6W,35.0,1004.0,100.0
20210627, TD, 29.8N,  72.8W,30.0,1013.0,40.0
20210628, TD, 30.1N,  74.5W,30.0,1013.0,40.0
20210628, TS, 30.7N,  76.1W,35.0,1011.0,40.0
20210628, TS, 31.5N,  77.6W,35.0,1011.0,30.0
20210628, TS, 32.0N,  79.5W,40.0,1009.0,30.0
20210628, TS, 32.3N,  80.5W,35.0,1010.0,30.0
20210629, TD, 32.4N,  80.7W,30.0,1011.0,30.0
20210630, TD,  9.4N,  42.8W,30.0,1008.0,60.0
20210701, TS,  9.3N,  45.3W,35.0,1007.0,60.0
20210701, TS,  9.4N,  47.7W,35.0,1006.0,50.0
20210701, TS,  9.9N,  50.2W,40.0,1005.0,50.0
20210701, TS, 10.7N,  52.6W,45.0,1004.0,50.0
20210702, TS, 11.5N,  55.0W,50.0,1002.0,40.0
20210702, TS, 12.3N,  57.3W,55.0,1000.0,30.0
20210702, HU, 13.0N,  59.8W,65.0,995.0,20.0
20210702, HU, 13.8N,  62.4W,75.0,991.0,15.0
20210703, HU, 14.7N,  65.1W,70.0,995.0,15.0
20210703, HU, 15.7N,  67.9W,65.0,998.0,15.0
20210703, TS, 16.6N,  70.3W,60.0,1000.0,15.0
20210703, TS, 17.2N,  72.5W,60.0,1002.0,20.0
20210704, TS, 17.6N,  74.4W,55.0,1004.0,20.0
20210704, TS, 18.0N,  75.5W,55.0,1006.0,20.0
20210704, TS, 18.5N,  76.5W,50.0,1007.0,20.0
20210704, TS, 19.3N,  77.6W,50.0,1007.0,20.0
20210705, TS, 20.1N,  78.6W,55.0,1005.0,20.0
20210705, TS, 20.7N,  79.6W,55.0,1005.0,20.0
20210705, TS, 21.3N,  80.7W,55.0,1005.0,20.0
20210705, TS, 22.1N,  81.5W,55.0,1005.0,20.0
20210705, TS, 22.2N,  81.6W,55.0,1005.0,20.0
20210706, TS, 22.9N,  82.0W,50.0,1005.0,20.0
20210706, TS, 23.7N,  82.4W,50.0,1005.0,20.0
20210706, TS, 24.6N,  82.7W,55.0,1003.0,20.0
20210706, TS, 25.5N,  82.9W,60.0,997.0,20.0
20210707, HU, 26.6N,  83.2W,65.0,996.0,20.0
20210707, TS, 27.8N,  83.5W,55.0,998.0,20.0
20210707, TS, 29.1N,  83.6W,55.0,999.0,25.0
20210707, TS, 29.8N,  83.5W,55.0,1000.0,25.0
20210707, TS, 30.3N,  83.4W,45.0,1002.0,40.0
20210708, TS, 31.5N,  82.7W,45.0,1005.0,60.0
20210708, TS, 32.8N,  81.8W,40.0,1006.0,75.0
20210708, TS, 34.2N,  80.5W,40.0,1006.0,90.0
20210708, TS, 35.5N,  79.0W,45.0,1004.0,90.0
20210709, TS, 36.8N,  77.4W,45.0,1003.0,90.0
20210709, TS, 38.4N,  75.5W,50.0,1001.0,75.0
