,Month,Year,Type,Country,Area,Activity,Sex,Age,Fatal (Y/N)
1058,July,1995,Unprovoked,USA,South Carolina,Swimming,F,7.0,N
1059,June,1995,Unprovoked,USA,South Carolina,Surfing,M,22.0,N
1060,June,1993,Unprovoked,USA,North Carolina,Swimming,F,60.0,N
1067,June,1991,Unprovoked,USA,Florida,Swimming behind sailboat,M,31.0,N
1071,October,1986,Unprovoked,USA,Florida,Surfing,M,28.0,N
1073,May,1985,Unprovoked,USA,California,"Surfing, but lying prone on his board",M,22.0,N
1074,September,1984,Unprovoked,USA,California,Wading,M,22.0,N
1078,May,1981,Unprovoked,USA,Florida,Diving,M,22.0,N
1082,July,1980,Unprovoked,USA,New Jersey,Body surfing,M,15.0,N
1089,September,1976,Unprovoked,USA,Florida,Surfing,M,15.0,N
1095,September,1970,Unprovoked,USA,Florida,Floating on a raft,M,18.0,N
1105,April,1966,Unprovoked,USA,Puerto Rico,Swimming,M,25.0,N
1114,August,1961,Unprovoked,USA,South Carolina,Wading,M,19.0,N
1121,July,1959,Unprovoked,USA,California,Spearfishing (but on surface),M,25.0,N
1128,July,1956,Unprovoked,USA,Florida,Wading,F,38.0,N
1132,February,1955,Unprovoked,USA,California,Scuba diving,M,22.0,N
1135,January,1954,Unprovoked,USA,Hawaii,Fishing,M,22.0,N
1136,September,1953,Provoked,USA,New York,Surf fishing,M,15.0,N
1138,July,1953,Unprovoked,USA,Hawaii,Accidentally dragged overboard from the sampan Holokahana into school of yellowfin tuna,M,22.0,N
1140,August,1952,Unprovoked,USA,Hawaii,Swimming,M,22.0,Y
1218,June,2023,Unprovoked,USA,Hawaii,Filming,M,22.0,N
1220,October,2022,Unprovoked,USA,Louisiana,Shipwreck,M,40.0,N
1222,June,2022,Unprovoked,USA,Florida,Swimming,F,35.0,N
1227,July,2021,Unprovoked,USA,Florida,Standing,M,8.0,N
1231,August,2020,Provoked,USA,Florida,Fishing,M,55.0,N
1233,May,2020,Unprovoked,USA,California,Surfing,M,26.0,Y
1235,July,2019,Unprovoked,USA,Florida,Surfing,M,23.0,N
1236,June,2019,Unprovoked,USA,North Carolina,Standing,F,17.0,N
1238,August,2018,Unprovoked,USA,California,Swimming,M,14.0,N
1239,May,2018,Unprovoked,USA,South Carolina,Boogie boarding,M,10.0,N
1240,April,2018,Unprovoked,USA,Hawaii,Body boarding,M,29.0,N
1242,April,2017,Unprovoked,USA,Florida,Surfing,F,35.0,N
1246,December,2016,Unprovoked,USA,Florida,Surfing,M,16.0,N
1247,November,2016,Unprovoked,USA,Hawaii,Floating,F,58.0,N
1248,July,2016,Unprovoked,USA,California,Kite surfing,M,61.0,N
1250,June,2016,Unprovoked,USA,Hawaii,Surfing,M,22.0,N
1251,June,2016,Unprovoked,USA,Texas,Floating in tube,F,6.0,N
1254,November,2015,Unprovoked,USA,Florida,Swimming,F,22.0,N
1257,September,2015,Unprovoked,USA,Florida,Surfing,M,14.0,N
1263,October,2013,Unprovoked,USA,Florida,Wading,M,12.0,N
1264,September,2013,Unprovoked,USA,Florida,Surfing,M,22.0,N
1268,November,2012,Unprovoked,USA,Hawaii,Diving,M,30.0,N
1270,June,2012,Unprovoked,USA,South Carolina,Swimming,M,22.0,N
1278,September,2010,Unprovoked,USA,Oregon,Surfing,M,29.0,N
1280,July,2010,Unprovoked,USA,Florida,Surfing,M,20.0,N
1281,June,2010,Unprovoked,USA,North Carolina,Swimming,F,13.0,N
1283,May,2010,Unprovoked,USA,Florida,Wading,F,10.0,N
1287,September,2008,Unprovoked,USA,Florida,Surfing,M,43.0,N
1288,March,2008,Unprovoked,USA,Florida,Jet skiing,M,8.0,N
1292,October,2006,Unprovoked,USA,Florida,Fishing,M,15.0,N
1293,October,2006,Unprovoked,USA,Florida,Playing soccer in the water,M,18.0,N
1296,December,2005,Unprovoked,USA,Oregon,Surfing,M,30.0,N
1297,October,2005,Unprovoked,USA,Hawaii,Surfing,M,22.0,N
1302,October,2004,Unprovoked,USA,California,Surfing,M,16.0,N
1306,September,2002,Provoked,USA,Florida,Fishing,M,22.0,N
1309,July,2001,Unprovoked,USA,Georgia,Floating face-down in knee-deep water,M,35.0,N
1313,July,2000,Unprovoked,USA,Florida,"Spearfishing, holding mesh bag with speared fish",F,55.0,N
1324,May,1996,Unprovoked,USA,Florida,Surfing,M,27.0,N
1330,November,1993,Unprovoked,USA,Florida,Swimming,M,30.0,N
1331,October,1993,Unprovoked,USA,California,Surfing,M,26.0,N
1332,July,1993,Unprovoked,USA,Florida,Playing,F,12.0,N
1334,August,1991,Unprovoked,USA,South Carolina,Swimming,M,23.0,N
1335,August,1991,Unprovoked,USA,Florida,Wading,F,10.0,N
1338,April,1988,Unprovoked,USA,Florida,Swimming,M,24.0,N
1346,October,1980,Unprovoked,USA,Oregon,Surfing,M,29.0,N
1349,January,1978,Unprovoked,USA,Florida,Surfing,F,22.0,N
1358,August,1969,Provoked,USA,Massachusetts,Fishing,M,28.0,N
1359,August,1968,Unprovoked,USA,Florida,Standing,M,15.0,N
1360,July,1968,Unprovoked,USA,South Carolina,Spearfishing using Scuba,M,33.0,N
1362,February,1968,Unprovoked,USA,Florida,Surfing,M,17.0,N
